m_ratings,teams,date
999,South Africa,1973-08-11
999,United Arab Emirates,1973-08-11
999,Netherlands,1973-08-11
999,Kenya,1973-08-11
999,Namibia,1973-08-11
999,Asia XI,1973-08-11
999,Nepal,1973-08-11
999,Oman,1973-08-11
998,Hong Kong,1973-08-11
995,Canada,1973-08-11
989,Sri Lanka,1973-08-11
985,East Africa,1973-08-11
980,India,1973-08-11
973,Pakistan,1973-08-11
960,West Indies,1973-08-11
1037,New Zealand,1973-09-11
1031,Australia,1973-09-11
1015,West Indies,1973-09-11
1003,Zimbabwe,1973-09-11
1001,ICC World XI,1973-09-11
1001,Africa XI,1973-09-11
1000,United States of America,1973-09-11
1000,Bermuda,1973-09-11
1000,Ireland,1973-09-11
1000,Afghanistan,1973-09-11
1000,Papua New Guinea,1973-09-11
999,Bangladesh,1973-09-11
999,South Africa,1973-09-11
999,United Arab Emirates,1973-09-11
999,Netherlands,1973-09-11
999,Kenya,1973-09-11
999,Scotland,1973-09-11
999,Namibia,1973-09-11
999,Asia XI,1973-09-11
999,Nepal,1973-09-11
999,Oman,1973-09-11
998,Hong Kong,1973-09-11
994,Canada,1973-09-11
987,England,1973-09-11
987,Sri Lanka,1973-09-11
982,East Africa,1973-09-11
977,Pakistan,1973-09-11
977,India,1973-09-11
1035,Australia,1973-10-11
1030,New Zealand,1973-10-11
1018,West Indies,1973-10-11
1003,Zimbabwe,1973-10-11
1001,ICC World XI,1973-10-11
1001,Africa XI,1973-10-11
1000,United States of America,1973-10-11
1000,Bermuda,1973-10-11
1000,Ireland,1973-10-11
1000,Afghanistan,1973-10-11
1000,Papua New Guinea,1973-10-11
999,Bangladesh,1973-10-11
999,South Africa,1973-10-11
999,United Arab Emirates,1973-10-11
999,Netherlands,1973-10-11
999,Kenya,1973-10-11
999,Scotland,1973-10-11
999,Asia XI,1973-10-11
999,Nepal,1973-10-11
999,Oman,1973-10-11
998,Namibia,1973-10-11
998,Hong Kong,1973-10-11
993,Canada,1973-10-11
992,England,1973-10-11
985,Sri Lanka,1973-10-11
980,Pakistan,1973-10-11
980,East Africa,1973-10-11
974,India,1973-10-11
1040,Australia,1973-11-11
1023,New Zealand,1973-11-11
1020,West Indies,1973-11-11
1004,Zimbabwe,1973-11-11
1001,ICC World XI,1973-11-11
1001,Africa XI,1973-11-11
1000,United States of America,1973-11-11
1000,Bermuda,1973-11-11
1000,Ireland,1973-11-11
1000,Afghanistan,1973-11-11
1000,Papua New Guinea,1973-11-11
999,Bangladesh,1973-11-11
999,South Africa,1973-11-11
999,United Arab Emirates,1973-11-11
999,Netherlands,1973-11-11
999,Kenya,1973-11-11
999,Scotland,1973-11-11
999,Asia XI,1973-11-11
999,Nepal,1973-11-11
999,Oman,1973-11-11
998,Namibia,1973-11-11
998,Hong Kong,1973-11-11
997,England,1973-11-11
993,Canada,1973-11-11
984,Pakistan,1973-11-11
984,Sri Lanka,1973-11-11
978,East Africa,1973-11-11
971,India,1973-11-11
1044,Australia,1973-12-11
1022,West Indies,1973-12-11
1016,New Zealand,1973-12-11
1004,Zimbabwe,1973-12-11
1002,England,1973-12-11
1001,ICC World XI,1973-12-11
1001,Africa XI,1973-12-11
1000,United States of America,1973-12-11
1000,Bermuda,1973-12-11
1000,Ireland,1973-12-11
1000,Afghanistan,1973-12-11
1000,Papua New Guinea,1973-12-11
999,Bangladesh,1973-12-11
999,Kenya,1973-12-11
999,Scotland,1973-12-11
999,Asia XI,1973-12-11
999,Oman,1973-12-11
998,South Africa,1973-12-11
998,United Arab Emirates,1973-12-11
998,Netherlands,1973-12-11
998,Namibia,1973-12-11
998,Hong Kong,1973-12-11
998,Nepal,1973-12-11
992,Canada,1973-12-11
988,Pakistan,1973-12-11
982,Sri Lanka,1973-12-11
975,East Africa,1973-12-11
968,India,1973-12-11
1048,Australia,1974-01-11
1025,West Indies,1974-01-11
1009,New Zealand,1974-01-11
1008,England,1974-01-11
1005,Zimbabwe,1974-01-11
1001,ICC World XI,1974-01-11
1001,Africa XI,1974-01-11
1000,United States of America,1974-01-11
1000,Bermuda,1974-01-11
1000,Ireland,1974-01-11
1000,Afghanistan,1974-01-11
1000,Papua New Guinea,1974-01-11
999,Bangladesh,1974-01-11
999,Kenya,1974-01-11
999,Scotland,1974-01-11
999,Asia XI,1974-01-11
998,South Africa,1974-01-11
998,United Arab Emirates,1974-01-11
998,Netherlands,1974-01-11
998,Namibia,1974-01-11
998,Nepal,1974-01-11
998,Oman,1974-01-11
997,Hong Kong,1974-01-11
991,Pakistan,1974-01-11
991,Canada,1974-01-11
980,Sri Lanka,1974-01-11
973,East Africa,1974-01-11
965,India,1974-01-11
1052,Australia,1974-02-11
1027,West Indies,1974-02-11
1013,England,1974-02-11
1005,Zimbabwe,1974-02-11
1002,New Zealand,1974-02-11
1002,ICC World XI,1974-02-11
1001,Africa XI,1974-02-11
1001,Bermuda,1974-02-11
1001,Papua New Guinea,1974-02-11
1000,United States of America,1974-02-11
1000,Afghanistan,1974-02-11
999,Bangladesh,1974-02-11
999,Kenya,1974-02-11
999,Scotland,1974-02-11
999,Ireland,1974-02-11
998,South Africa,1974-02-11
998,United Arab Emirates,1974-02-11
998,Netherlands,1974-02-11
998,Namibia,1974-02-11
998,Asia XI,1974-02-11
998,Nepal,1974-02-11
998,Oman,1974-02-11
997,Hong Kong,1974-02-11
995,Pakistan,1974-02-11
990,Canada,1974-02-11
978,Sri Lanka,1974-02-11
970,East Africa,1974-02-11
962,India,1974-02-11
1069,Australia,1974-03-11
1029,West Indies,1974-03-11
1018,England,1974-03-11
1006,Zimbabwe,1974-03-11
1002,ICC World XI,1974-03-11
1001,Africa XI,1974-03-11
1001,Bermuda,1974-03-11
1001,Papua New Guinea,1974-03-11
1000,United States of America,1974-03-11
1000,Afghanistan,1974-03-11
999,Scotland,1974-03-11
999,Ireland,1974-03-11
998,Pakistan,1974-03-11
998,Bangladesh,1974-03-11
998,South Africa,1974-03-11
998,United Arab Emirates,1974-03-11
998,Netherlands,1974-03-11
998,Kenya,1974-03-11
998,Asia XI,1974-03-11
998,Nepal,1974-03-11
998,Oman,1974-03-11
997,Namibia,1974-03-11
997,Hong Kong,1974-03-11
990,Canada,1974-03-11
983,New Zealand,1974-03-11
977,Sri Lanka,1974-03-11
968,East Africa,1974-03-11
959,India,1974-03-11
1092,Australia,1974-04-11
1031,West Indies,1974-04-11
1023,England,1974-04-11
1006,Zimbabwe,1974-04-11
1002,Pakistan,1974-04-11
1002,ICC World XI,1974-04-11
1002,Africa XI,1974-04-11
1001,Bermuda,1974-04-11
1001,Papua New Guinea,1974-04-11
1000,United States of America,1974-04-11
1000,Afghanistan,1974-04-11
999,Scotland,1974-04-11
999,Ireland,1974-04-11
998,Bangladesh,1974-04-11
998,South Africa,1974-04-11
998,United Arab Emirates,1974-04-11
998,Netherlands,1974-04-11
998,Kenya,1974-04-11
