m_ratings,teams,date
999,Hong Kong,2006-08-15
999,United Arab Emirates,2006-08-15
999,Oman,2006-08-15
999,Saudi Arabia,2006-08-15
999,Maldives,2006-08-15
999,Vanuatu,2006-08-15
999,Philippines,2006-08-15
999,Malta,2006-08-15
999,Mexico,2006-08-15
999,Costa Rica,2006-08-15
999,Belgium,2006-08-15
999,Nigeria,2006-08-15
999,Ghana,2006-08-15
999,Botswana,2006-08-15
999,Guernsey,2006-08-15
999,Norway,2006-08-15
999,Denmark,2006-08-15
999,Thailand,2006-08-15
999,Samoa,2006-08-15
999,Finland,2006-08-15
999,Cayman Islands,2006-08-15
999,Austria,2006-08-15
999,Turkey,2006-08-15
999,Chile,2006-08-15
999,Serbia,2006-08-15
999,Portugal,2006-08-15
999,Gibraltar,2006-08-15
999,Mozambique,2006-08-15
999,Bhutan,2006-08-15
999,Iran,2006-08-15
998,Netherlands,2006-08-15
997,Afghanistan,2006-08-15
994,Scotland,2006-08-15
993,Kenya,2006-08-15
991,Bermuda,2006-08-15
983,New Zealand,2006-08-15
978,South Africa,2006-08-15
977,Zimbabwe,2006-08-15
908,England,2006-08-15
NA,ICC World XI,2006-08-15
NA,Panama,2006-08-15
NA,Isle of Man,2006-08-15
1074,Sri Lanka,2006-09-15
1032,Bangladesh,2006-09-15
1032,India,2006-09-15
1030,Pakistan,2006-09-15
1019,Australia,2006-09-15
1009,West Indies,2006-09-15
1007,Ireland,2006-09-15
1007,Canada,2006-09-15
1003,Italy,2006-09-15
1002,Nepal,2006-09-15
1002,Germany,2006-09-15
1002,Romania,2006-09-15
1002,Malawi,2006-09-15
1001,Papua New Guinea,2006-09-15
1001,Bahrain,2006-09-15
1001,Kuwait,2006-09-15
1001,Qatar,2006-09-15
1001,United States of America,2006-09-15
1001,Spain,2006-09-15
1001,Belize,2006-09-15
1001,Namibia,2006-09-15
1001,Uganda,2006-09-15
1001,Jersey,2006-09-15
1001,Malaysia,2006-09-15
1001,Singapore,2006-09-15
1001,Luxembourg,2006-09-15
1001,Argentina,2006-09-15
1001,Peru,2006-09-15
1001,Bulgaria,2006-09-15
1001,Greece,2006-09-15
1000,World-XI,2006-09-15
1000,Czech Republic,2006-09-15
1000,Brazil,2006-09-15
999,Oman,2006-09-15
999,Saudi Arabia,2006-09-15
999,Maldives,2006-09-15
999,Malta,2006-09-15
999,Mexico,2006-09-15
999,Costa Rica,2006-09-15
999,Ghana,2006-09-15
999,Botswana,2006-09-15
999,Guernsey,2006-09-15
999,Norway,2006-09-15
999,Denmark,2006-09-15
999,Thailand,2006-09-15
999,Samoa,2006-09-15
999,Austria,2006-09-15
999,Chile,2006-09-15
999,Serbia,2006-09-15
999,Portugal,2006-09-15
999,Bhutan,2006-09-15
999,Iran,2006-09-15
998,Hong Kong,2006-09-15
998,United Arab Emirates,2006-09-15
998,Vanuatu,2006-09-15
998,Philippines,2006-09-15
998,Belgium,2006-09-15
998,Nigeria,2006-09-15
998,Finland,2006-09-15
998,Cayman Islands,2006-09-15
998,Turkey,2006-09-15
998,Gibraltar,2006-09-15
998,Mozambique,2006-09-15
997,Netherlands,2006-09-15
995,Afghanistan,2006-09-15
991,Scotland,2006-09-15
990,Kenya,2006-09-15
988,Bermuda,2006-09-15
976,New Zealand,2006-09-15
968,Zimbabwe,2006-09-15
968,South Africa,2006-09-15
898,England,2006-09-15
NA,ICC World XI,2006-09-15
NA,Panama,2006-09-15
NA,Isle of Man,2006-09-15
1081,Sri Lanka,2006-10-15
1041,Bangladesh,2006-10-15
1040,India,2006-10-15
1024,Australia,2006-10-15
1018,Pakistan,2006-10-15
1012,West Indies,2006-10-15
1009,Ireland,2006-10-15
1009,Canada,2006-10-15
1003,Italy,2006-10-15
1003,Romania,2006-10-15
1002,Nepal,2006-10-15
1002,Papua New Guinea,2006-10-15
1002,Germany,2006-10-15
1002,Singapore,2006-10-15
1002,Peru,2006-10-15
1002,Malawi,2006-10-15
1001,Bahrain,2006-10-15
1001,Kuwait,2006-10-15
1001,Qatar,2006-10-15
1001,United States of America,2006-10-15
1001,Spain,2006-10-15
1001,Belize,2006-10-15
1001,Namibia,2006-10-15
1001,Uganda,2006-10-15
1001,Jersey,2006-10-15
1001,Malaysia,2006-10-15
1001,Luxembourg,2006-10-15
1001,Argentina,2006-10-15
1001,Bulgaria,2006-10-15
1001,Greece,2006-10-15
1000,World-XI,2006-10-15
1000,Czech Republic,2006-10-15
1000,Brazil,2006-10-15
999,Saudi Arabia,2006-10-15
999,Maldives,2006-10-15
999,Malta,2006-10-15
999,Mexico,2006-10-15
999,Costa Rica,2006-10-15
999,Ghana,2006-10-15
999,Botswana,2006-10-15
999,Guernsey,2006-10-15
999,Norway,2006-10-15
999,Denmark,2006-10-15
999,Thailand,2006-10-15
999,Austria,2006-10-15
999,Chile,2006-10-15
999,Serbia,2006-10-15
999,Portugal,2006-10-15
998,Hong Kong,2006-10-15
998,Oman,2006-10-15
998,Vanuatu,2006-10-15
998,Philippines,2006-10-15
998,Belgium,2006-10-15
998,Nigeria,2006-10-15
998,Samoa,2006-10-15
998,Gibraltar,2006-10-15
998,Mozambique,2006-10-15
998,Bhutan,2006-10-15
998,Iran,2006-10-15
997,United Arab Emirates,2006-10-15
997,Finland,2006-10-15
